apple_label,semi_major_axis,semi_minor_axis,xc,yc,theta,area,perimeter,eccentricity,volume
70f.jpg,468.45,462.09,951.53,1057.25,0.36,680046.58,2923.41,0.16,165
70g.jpg,470.51,453.78,947.04,1048.74,0.09,670749.32,2903.97,0.26,165
70h.jpg,450.38,439.73,938.4,1064.95,0.49,622176.9,2796.46,0.22,165
70i.jpg,464.5,452.91,958.84,1069.87,2.97,660912.62,2882.23,0.22,165
71a.jpg,425.95,392.9,750.29,1048.93,1.53,525764.64,2573.54,0.39,120
71b.jpg,421.78,398.55,767.18,1099.33,1.98,528108.29,2577.67,0.33,120
71c.jpg,434.44,374.71,872.0,1032.57,3.12,511415.75,2545.48,0.51,120
71d.jpg,442.93,390.47,881.49,1076.54,2.74,543336.84,2620.79,0.47,120
71e.jpg,437.3,404.03,897.28,1078.19,2.84,555056.81,2644.13,0.38,120
71f.jpg,433.48,382.4,893.87,1069.75,0.23,520761.28,2565.68,0.47,120
71g.jpg,430.22,380.46,866.59,1043.32,0.51,514215.16,2549.21,0.47,120
71h.jpg,421.84,408.77,926.26,1024.65,0.2,541720.58,2609.6,0.25,120
71i.jpg,420.42,390.24,936.35,1100.37,2.54,515423.66,2547.64,0.37,120
71j.jpg,419.83,394.39,902.89,1100.25,1.3,520174.21,2558.57,0.34,120
72a.jpg,470.61,430.94,969.96,982.1,2.53,637130.05,2833.67,0.4,110
72b.jpg,472.39,449.84,996.32,982.38,2.54,667589.43,2897.71,0.31,110
72c.jpg,466.68,445.14,1003.39,978.44,0.17,652627.94,2864.97,0.3,110
72d.jpg,465.25,443.54,1005.62,977.8,0.22,648290.53,2855.46,0.3,110
72e.jpg,470.49,433.82,948.09,945.68,0.64,641231.41,2842.16,0.39,110
72f.jpg,464.56,447.07,990.39,910.45,1.29,652484.75,2864.24,0.27,110
72g.jpg,459.78,442.76,1003.23,891.6,2.32,639530.85,2835.64,0.27,110
72h.jpg,457.91,445.61,1072.48,1031.61,2.11,641036.87,2838.62,0.23,110
72i.jpg,453.73,434.8,748.47,1059.5,2.37,619789.17,2791.74,0.29,110
72j.jpg,453.69,434.84,747.18,1060.26,2.37,619772.75,2791.69,0.29,110
73a.jpg,418.16,401.56,926.64,992.3,2.07,527518.46,2575.48,0.28,130
73b.jpg,440.79,382.78,907.97,974.21,2.51,530061.36,2590.52,0.5,130
73c.jpg,438.63,402.48,903.98,990.62,1.93,554614.61,2643.64,0.4,130
73d.jpg,433.45,409.96,911.07,1006.08,2.37,558256.84,2650.18,0.32,130
73e.jpg,433.18,399.88,985.16,1011.1,0.6,544187.25,2618.18,0.38,130
73f.jpg,439.93,386.61,899.03,974.31,1.01,534317.48,2599.33,0.48,130
73g.jpg,438.73,399.96,970.8,969.06,1.18,551270.61,2636.23,0.41,130
73h.jpg,431.31,402.93,934.31,953.34,0.44,545968.2,2621.59,0.36,130
73i.jpg,432.04,407.2,973.22,999.74,0.48,552691.55,2637.13,0.33,130
74a.jpg,400.51,369.95,817.55,1156.52,2.63,465480.43,2421.41,0.38,100
74b.jpg,398.99,368.04,855.53,1149.32,2.65,461333.42,2410.7,0.39,100
74c.jpg,399.44,373.89,839.26,1151.98,2.55,469184.9,2430.15,0.35,100
74d.jpg,387.35,385.69,880.77,1108.5,1.6,469336.44,2428.56,0.09,100
74e.jpg,394.83,367.69,859.23,1094.37,0.68,456083.03,2396.29,0.36,100
74f.jpg,400.9,371.39,868.08,1057.93,0.75,467753.27,2427.11,0.38,100
74g.jpg,392.84,382.06,874.37,1057.23,0.06,471525.17,2434.56,0.23,100
74h.jpg,401.72,370.1,889.69,1052.74,2.44,467074.63,2425.74,0.39,100
74i.jpg,385.56,380.6,905.77,1095.54,1.26,461004.7,2406.97,0.16,100
74j.jpg,391.33,378.87,918.43,1049.15,2.92,465778.57,2419.8,0.25,100
74k.jpg,391.89,378.78,918.4,1049.02,2.91,466339.86,2421.31,0.26,100
75a.jpg,449.35,425.52,854.06,1003.48,2.39,600706.8,2749.02,0.32,140
75b.jpg,440.56,412.04,900.29,1001.97,0.0,570290.62,2679.28,0.35,140
75c.jpg,447.17,427.16,904.87,1040.36,2.43,600096.57,2747.17,0.3,140
